Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Price_Change,Price_Range,Returns,SMA_10,SMA_50,EMA_12,EMA_26,RSI_14,MACD,MACD_signal,MACD_hist,Volatility_10,Volatility_20,Volume_Change_Pct,Close_lag_1,Volume_lag_1,Year,Month,DayOfWeek,Quarter,Future_Close,Future_Return,Label
2011-06-01,BPCL,EQ,633.0,628.1,638.0,626.05,631.9,632.55,631.51,671985,42436731500000.0,13466.0,317716.0,0.4728,4.449999999999932,11.950000000000045,-0.0007109004739337399,623.355,618.855,628.8303301442652,628.2554502067937,37.41588156123818,0.5748799374714508,2.431243492708717,-1.8563635552372664,0.01466048217999118,0.01762349850726609,42.72864173249251,633.0,470813.0,2011,6,2,2,624.75,-0.012331041024424876,HOLD
2011-06-02,BPCL,EQ,632.55,629.75,638.55,625.7,626.5,628.65,631.96,549358,34717079545000.0,13537.0,252726.0,0.46,-1.1000000000000227,12.849999999999909,-0.006165520512212419,624.4449999999999,620.151,628.8025870451476,628.2846761174017,36.21363438992617,0.517910927745902,2.048576979716154,-1.5306660519702522,0.014878259694445855,0.01728534679081791,-18.2484728081728,632.55,671985.0,2011,6,3,2,612.95,-0.02497415095840282,SELL
2011-06-03,BPCL,EQ,628.65,630.1,632.2,617.3,622.0,621.2,624.32,305897,19097795350000.0,10433.0,69952.0,0.2287,-8.899999999999977,14.900000000000091,-0.011850791378350323,623.9950000000001,621.261,627.632958268971,627.7598852938904,36.40331732867743,-0.12692702491938235,1.613476178789047,-1.7404032037084294,0.014897677054272218,0.01515848596160969,-44.3173668172667,628.65,549358.0,2011,6,4,2,605.9,-0.024629748873148852,SELL
2011-06-06,BPCL,EQ,621.2,621.7,621.7,610.0,610.55,612.05,612.65,306468,18775896390000.0,9630.0,167088.0,0.5452,-9.650000000000091,11.700000000000045,-0.014729555698647978,622.27,622.056,625.2355800737447,626.5961900869355,35.77863577863573,-1.3606100131908079,1.0186589403930761,-2.379268953583884,0.015325747383396768,0.01507856732107578,0.1866641385825929,621.2,305897.0,2011,6,0,2,615.0,0.004819867657871164,HOLD
2011-06-07,BPCL,EQ,612.05,613.0,617.0,608.2,616.8,614.0,613.12,498878,30587292875000.0,12012.0,291222.0,0.5838,1.0,8.799999999999955,0.0031860142145250236,621.68,622.7909999999999,623.5070292931686,625.6631389693848,47.57493188010896,-2.1561096762162606,0.38370521707120886,-2.5398148932874696,0.014775591660941825,0.015138181045997784,62.78306381090359,612.05,306468.0,2011,6,1,2,617.15,0.005130293159609083,HOLD
2011-06-08,BPCL,EQ,614.0,612.1,625.3,610.05,624.1,624.75,621.8,552997,34385116440000.0,7135.0,396454.0,0.7169,12.649999999999977,15.25,0.017508143322475522,623.78,623.438,623.698255555758,625.5954990457267,53.43811394891945,-1.8972434899686732,-0.07248452433676755,-1.8247589656319056,0.012813244660954572,0.015503831808003622,10.848143233415787,614.0,498878.0,2011,6,2,2,619.05,-0.009123649459783986,HOLD
2011-06-09,BPCL,EQ,624.75,620.0,620.0,611.1,612.1,612.95,613.45,184478,11316849785000.0,5774.0,39269.0,0.2129,-7.0499999999999545,8.899999999999977,-0.018887555022008784,623.4549999999999,623.925,622.0446777779491,624.6587954127099,43.96592522479886,-2.6141176347607598,-0.580811146421566,-2.0333064883391936,0.01303617706745096,0.015869357584935975,-66.64032535438709,624.75,552997.0,2011,6,3,2,629.7,0.027326861897381514,BUY
2011-06-10,BPCL,EQ,612.95,609.85,611.8,603.7,607.9,605.9,607.43,207502,12604292510000.0,14204.0,87656.0,0.4224,-3.9500000000000455,8.099999999999909,-0.011501753813524918,621.23,623.794,619.5608811967262,623.2692550117685,39.27589367552705,-3.7083738150422505,-1.206323680145703,-2.502050134896548,0.011364082375466721,0.015943713154769876,12.480620995457459,612.95,184478.0,2011,6,4,2,630.9,0.041260934147549104,BUY
2011-06-13,BPCL,EQ,605.9,611.0,617.9,607.15,617.2,615.0,614.48,268107,16474513740000.0,5909.0,105765.0,0.3945,4.0,10.75,0.015018980029707807,620.005,623.823,618.8592071664607,622.6567176034893,47.74816176470589,-3.7975104370285635,-1.724561031522275,-2.0729494055062885,0.01280307633568321,0.01637879151321805,29.206947402916605,605.9,207502.0,2011,6,0,2,627.65,0.020569105691056872,BUY
2011-06-14,BPCL,EQ,615.0,620.0,622.95,616.0,616.0,617.15,619.21,219514,13592442594999.998,10433.0,101321.0,0.4615999999999999,-2.8500000000000227,6.9500000000000455,0.0034959349593495226,618.42,623.929,618.5962522177745,622.2488125958233,57.06751054852319,-3.652560378048861,-2.1101609008275926,-1.5423994772212684,0.012377080335317396,0.01631929503028403,-18.124480151581267,615.0,268107.0,2011,6,1,2,618.25,0.001782386777930848,HOLD
