Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Deliverable Volume,%Deliverble,Price_Change,Price_Range,Returns,SMA_5,SMA_20,Volatility,Close_lag_1,Volume_lag_1
2002-01-01,RELIANCE,EQ,306.2,304.9,308.9,302.6,305.5,305.0,305.88,688738,21067312375000.0,221385.0,0.3214,0.10000000000002274,6.2999999999999545,-0.003919007184846501,304.43,307.6675,5.743629766509123,306.2,1160420.0
2002-01-02,RELIANCE,EQ,305.0,304.05,306.0,301.0,303.9,303.6,303.67,684042,20772018505000.0,197833.0,0.2892,-0.44999999999998863,5.0,-0.004590163934426128,303.78999999999996,308.325,4.2193320748535115,305.0,688738.0
2002-01-03,RELIANCE,EQ,303.6,305.0,306.95,295.25,295.45,296.45,299.28,1578252,47233998135000.0,577718.0,0.366,-8.550000000000011,11.699999999999989,-0.023550724637681264,302.63,308.22249999999997,4.486983367122613,303.6,684042.0
2002-01-04,RELIANCE,EQ,296.45,301.0,325.75,298.0,320.1,321.05,313.19,4477725,140237024720000.0,1583407.0,0.3536,20.05000000000001,27.75,0.08298195311182321,306.46000000000004,308.61,5.222864711005512,296.45,1578252.0
2002-01-07,RELIANCE,EQ,321.05,319.0,330.55,317.3,317.3,320.0,324.03,3036656,98398211530000.0,537202.0,0.1769,1.0,13.25,-0.003270518610808293,309.21999999999997,309.1125,5.809132442700483,321.05,4477725.0
2002-01-08,RELIANCE,EQ,320.0,321.05,325.0,315.6,318.0,317.85,320.32,1644880,52688902340000.0,322665.0,0.1962,-3.1999999999999886,9.399999999999977,-0.0067187499999998845,311.79,309.405,6.102068242989302,320.0,3036656.0
2002-01-09,RELIANCE,EQ,317.85,320.0,335.5,316.1,329.0,328.35,328.4,6239242,204898216095000.0,1507053.0,0.2415,8.350000000000023,19.399999999999977,0.033034450212364286,316.73999999999995,310.07000000000005,7.347294525340518,317.85,1644880.0
2002-01-10,RELIANCE,EQ,328.35,330.1,334.65,321.6,324.8,324.65,328.9,2451508,80629231620000.0,815235.0,0.3325,-5.4500000000000455,13.049999999999955,-0.011268463529770179,322.38,310.78000000000003,8.039448789693163,328.35,6239242.0
2002-01-11,RELIANCE,EQ,324.65,327.0,335.0,318.05,328.5,326.8,329.07,3018935,99343919405000.0,1081404.0,0.3582,-0.19999999999998863,16.94999999999999,0.0066225165562914245,323.53,311.57000000000005,8.802308309695878,324.65,2451508.0
2002-01-14,RELIANCE,EQ,326.8,331.0,344.0,322.25,323.4,325.7,333.0,4686848,156072149050000.0,1231808.0,0.2628,-5.300000000000011,21.75,-0.0033659730722155334,324.67,312.30499999999995,9.348964198184806,326.8,3018935.0
